no,raw,smooth
0,-175.0,-181.03249
1,-192.5,-181.70277
2,-207.5,-180.50308
3,-220.0,-177.50343
4,-230.0,-172.7816
5,-240.0,-166.42401
6,-245.0,-158.2489
7,-250.0,-148.6099
8,-250.0,-137.34433
9,-247.5,-124.82703
10,-245.0,-111.1967
11,-240.0,-96.32967
12,-230.0,-80.3663
13,-220.0,-63.740337
14,-205.0,-46.378155
15,-190.0,-28.753506
16,-175.0,-10.83723
17,-155.0,7.403078
18,-135.0,25.447865
19,-112.5,43.275406
20,-90.0,60.583786
21,-67.5,77.31532
22,-42.5,93.405914
23,-17.5,108.50658
24,7.5,122.50731
25,32.5,135.2859
26,57.5,146.70656
27,80.0,156.61841
28,105.0,165.13158
29,127.5,171.81287
30,147.5,176.73653
31,167.5,179.98503
32,185.0,181.37227
33,200.0,180.9692
34,215.0,178.85466
35,225.0,174.83852
36,235.0,169.26503
37,242.5,161.96115
38,247.5,153.01239
39,250.0,142.51376
40,250.0,130.57086
41,247.5,117.30097
42,242.5,102.83442
43,235.0,87.316025
44,225.0,70.90669
45,212.5,53.78522
46,197.5,36.150246
47,182.5,18.222498
48,162.5,-0.030557632
49,142.5,-18.089508
50,122.5,-35.93279
51,100.0,-53.536434
52,77.5,-70.59604
53,52.5,-87.051155
54,27.5,-102.55684
55,2.5,-117.0076
56,-22.5,-130.28622
57,-47.5,-142.26248
58,-70.0,-152.79166
59,-95.0,-161.99074
60,-117.5,-169.43416
61,-140.0,-175.20462
62,-160.0,-179.11624
63,-177.5,-181.24028
64,-195.0,-181.65587
65,-210.0,-180.17319
66,-222.5,-176.8591
67,-232.5,-171.78789
68,-240.0,-165.0421
69,-245.0,-156.71346
70,-250.0,-146.90384
71,-250.0,-135.44872
72,-247.5,-122.720795
73,-245.0,-108.85644
74,-237.5,-93.72938
75,-227.5,-77.75487
76,-217.5,-61.11652
77,-205.0,-43.740578
78,-187.5,-25.822865
79,-170.0,-7.858738
80,-152.5,10.156958
81,-132.5,28.229954
82,-110.0,46.08884
83,-87.5,63.432045
84,-62.5,80.20228
85,-37.5,96.05809
86,-12.5,110.89788
87,12.5,124.60876
88,37.5,137.06529
89,60.0,148.12811
90,85.0,157.92014
91,107.5,166.02238
92,130.0,172.52487
93,150.0,177.24986
94,170.0,180.27763
95,187.5,181.4196
96,202.5,180.744
97,217.5,178.32668
98,227.5,173.97409
99,237.5,168.02678
